FTAIL|8007|2222
FDETL|1778150415394||541627262499|3||
FDETL|1778150415394||541627262500|22||
FDETL|1778150415394||541627302205|15||
FDETL|1778150415394||541627302207|8||
FDETL|1778150415394||541627302208|11||
FDETL|1778150415394||541627302209|28||
FDETL|1778150415394||541627302210|15||
FDETL|1778150415394||541627302212|4||
FDETL|1778150415394||541627302213|2||
FDETL|1778150415394||541627302214|8||
FDETL|1778150415394||541627302215|10||
FDETL|1778150415394||541627302216|6||
FDETL|1778150415394||541627302217|35||
FDETL|1778150415394||541627302220|56||
FDETL|1778150415394||541627302221|25||
FDETL|1778150415394||541627302222|40||
FDETL|1778150415394||541627373368|99||
FDETL|1778150415394||541627373369|42||
FDETL|1778150415394||541627373370|67||
FDETL|1778150415394||541627373371|47||
FDETL|1778150415394||541627373372|20||
FDETL|1778150415394||541627373373|24||
FDETL|1778150415394||541627373374|29||
FDETL|1778150415394||541627373375|14||
FDETL|1778150415394||541627373376|6||
FDETL|1778150415394||541627373377|42||
FDETL|1778150415394||541627373378|6||
FDETL|1778150415394||541627373379|63||
FDETL|1778150415394||541627395954|17||
FDETL|1778150415394||541627395955|14||
FDETL|1778150415394||541627395956|16||
FDETL|1778150415394||541627395957|18||
FDETL|1778150415394||541627395958|16||
FDETL|1778150415394||541627395959|17||
FDETL|1778150415394||541627395960|25||
FDETL|1778150415394||541627395961|12||
FDETL|1778150415394||541627395962|25||
FDETL|1778150415394||541627395963|17||
FDETL|1778150415394||541627395964|9||
FDETL|1778150415394||541627395965|8||
FDETL|1778150415394||541627395966|27||
FDETL|1778150415394||541627554338|20||
FDETL|1778150415394||541627554339|20||
FDETL|1778150415394||541627554340|19||
FDETL|1778150415394||541627554341|15||
FDETL|1778150415394||541627554342|13||
FDETL|1778150415394||541627554344|19||
FDETL|1778150415394||541627554345|11||
FDETL|1778150415394||541627554346|16||
FDETL|1778150415394||541627554347|15||
FDETL|1778150415394||541627554349|17||
FDETL|1778150415394||541627554350|16||
FDETL|1778150415394||541627743333|24||
FDETL|1778150415394||541626808801|186||
FDETL|1778150415394||541626808802|177||
FDETL|1778150415394||541626808807|1||
FDETL|1778150415394||541626906159|53||
FDETL|1778150415394||541626906160|199||
FDETL|1778150415394||541626906161|39||
FDETL|1778150415394||541626906162|1||
FDETL|1778150415394||541626906165|58||
FDETL|1778150415394||541626954783|1||
FDETL|1778150415394||541626954785|34||
FDETL|1778150415394||541626954786|1||
FDETL|1778150415394||541626975764|57||
FDETL|1778150415394||541627063686|3||
FDETL|1778150415394||541627063687|12||
FTAIL|
