LOC,ITEM,DEPT,DEPT_NAME,CLASS,CLASS_NAME,SUBCLASS,SUB_NAME,ITEM_DESC,AV_COST,SELLING_UNIT_RETAIL,CURRENCY_CODE,UDA_VALUE,ITEM_LOC_STATUS,SIZE,BARCODE
ALT01,033327060341,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:40:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1188.8042,3100,AED,333,A,40,8053609880230
ALT01,033327060342,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:41:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1188.8043,3100,AED,333,A,41,8053609880254
ALT01,033327060343,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:42:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1173.3418,3100,AED,333,A,42,8053609880278
ALT01,033327060344,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:43:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1173.3418,3100,AED,333,A,43,8053609880292
ALT01,033327060345,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:44:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1188.8043,3100,AED,333,A,44,8053609880315
ALT01,033327060346,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:45:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1188.8042,3100,AED,333,A,45,8053609880339
ALT01,033327060347,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1017878-1A12892-1B000:VSC.1B000:39:SNEAKER SUEDE+FABRIC+CALF LEATHER,841.3617,2150,AED,333,A,39,8053609865664
ALT01,033327060355,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018496-1A13176-2UO00:VSC.2UO00:39:SLIDES FABRIC,603.109,1450,AED,333,A,39,8053609868559
ALT01,033327060356,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018496-1A13176-2UO00:VSC.2UO00:46:SLIDES FABRIC,556.7299,1450,AED,333,A,46,8053609868481
ALT01,033327060357,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:39:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1174.06,2900,AED,333,A,39,8053609861109
ALT01,033327060358,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:40:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1255.1583,2900,AED,333,A,40,8053609861093
ALT01,033327060359,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:41:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1174.06,2900,AED,333,A,41,8053609861086
ALT01,033327060360,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:42:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1255.1583,2900,AED,333,A,42,8053609861079
ALT01,033327060361,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:43:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1255.1583,2900,AED,333,A,43,8053609861062
ALT01,033327060362,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:44:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1197.4383,2900,AED,333,A,44,8053609861055
ALT01,033327060363,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:45:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1255.1583,2900,AED,333,A,45,8053609865183
ALT01,033327060364,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:46:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1255.1583,2900,AED,333,A,46,8053609865206
ALT01,033327060365,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13065-1B00V:VSC.1B00V:47:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1174.06,2900,AED,333,A,47,8053609865220
ALT01,033327060366,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:39:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1188.8042,3100,AED,333,A,39,8053609880353
ALT01,033327060367,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A13067-2W02V:VSC.2W02V:46:SNEAKER FREE BIO FABRIC+CALF LEATHER+GREEK HF,1173.3418,3100,AED,333,A,46,8053609880346
ALT01,033327060368,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:35:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1252.4793,2900,AED,333,A,35,8053609874574
ALT01,033327060369,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:36:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1252.4793,2900,AED,333,A,36,8053609874581
ALT01,033327060370,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:37:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1252.4793,2900,AED,333,A,37,8053609874604
ALT01,033327060371,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:38:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1252.4793,2900,AED,333,A,38,8053609874635
ALT01,033327060372,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:39:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1252.4793,2900,AED,333,A,39,8053609874673
ALT01,033327060373,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:40:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1139.7182,2900,AED,333,A,40,8053609874659
ALT01,033327060374,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:41:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1252.4793,2900,AED,333,A,41,8053609874697
ALT01,033327060375,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13065-2W02V:VSC.2W02V:42:SNEAKER FREE BIO FABRIC+APPLICATION MEDUSE AND STUD,1252.4793,2900,AED,333,A,42,8053609874628
