NUM_DOC;LABEL_DOC;SITE_LOCATION;STOCK_LOCATION;DATE;STATUS_DOC;CODE_ARTICLE;EXPECTED_QUANTITY_LINE;COUNTED_QUANTITY_LINE;GAP_QUANTITY_LINE;STATUS_LINE;FAMILY
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940256;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940257;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940258;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940259;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940383;3;3;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940385;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940386;2;3;1;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940417;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940576;1;1;0;COUNTED_ON_SECTOR;6736
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940321;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940488;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940322;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716898828;100;100;0;COUNTED_WEB;6757
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716940406;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135608;3;3;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135642;3;3;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135719;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135735;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135789;3;3;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135717;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135734;3;3;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135775;-1;0;1;NOT_COUNT;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135812;1;1;0;COUNTED_ON_SECTOR;6668
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135819;1;0;-1;NOT_COUNT;4510
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135638;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135877;1;1;0;COUNTED_ON_SECTOR;6939
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135715;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135889;1;1;0;COUNTED_ON_SECTOR;3973
