LOC,ITEM,DEPT,DEPT_NAME,CLASS,CLASS_NAME,SUBCLASS,SUB_NAME,ITEM_DESC,AV_COST,SELLING_UNIT_RETAIL,CURRENCY_CODE,UDA_VALUE,ITEM_LOC_STATUS,SIZE,BARCODE
001,020412331662,9801,SKINCARE,1988,OCC:L'OCCITANE,6749,SET,27DCU28I15:IM. PROGRAMME DIVIN 28 X 1ML,223.5941,559,QAR,204,A,,3253581321829
001,020412331668,9828,TOILETRIES,1988,OCC:L'OCCITANE,4634,HAND & FOOT CARE,49MR010K14:SHEA ROSE HAND CR 10ML,5.2001,15,QAR,204,A,,3253581318331
001,020412332786,9812,GWP,1988,OCC:L'OCCITANE,4624,GWP,98BBPOUGEN13:B2B GENERIC POUCH,0,.01,QAR,204,A,,3253581293935
001,020412350873,9828,TOILETRIES,1988,OCC:L'OCCITANE,4634,HAND & FOOT CARE,01RL500K14:SHEA LAV LIQ SOAP EC REF 500ML,26,85,QAR,204,C,,3253581318249
001,020412350879,9813,FRAGRANCES,1988,OCC:L'OCCITANE,4538,EAU DE TOILETTE,20ET100CD15:CEDRAT EDT 100ML,107.59,275,QAR,204,A,,3253581329009
001,020412350890,9834,PLV,1988,OCC:L'OCCITANE,6722,SAMPLES,52CL0015K15:SHEA LIG FACE CR SAMP 15ML 50,0,0,QAR,204,C,,3253581327951
001,020412350891,9834,PLV,1988,OCC:L'OCCITANE,6722,SAMPLES,52CV0015K15:SHEA UR FACE CR SAMP 15ML 50,0,0,QAR,204,C,,3253581327968
001,020412350892,9834,PLV,1988,OCC:L'OCCITANE,6622,PRINTED MATERIALS,52EQTEST14:10 BOARDS x 60 TESTER STICKERS,0,.01,QAR,204,A,,3253581342350
001,020412363102,9801,SKINCARE,1988,OCC:L'OCCITANE,4344,CLEANSERS,01ED200K15:SHEA CLEANSING WATER 200ML,39.59,99,QAR,204,A,,3253581327869
001,020412363103,9801,SKINCARE,1988,OCC:L'OCCITANE,4508,DAY CREAMS,01CV050K15:SHEA UR FACE CREAM 50ML,63.6,175,QAR,204,A,,3253581327845
001,020412363104,9801,SKINCARE,1988,OCC:L'OCCITANE,5647,LIP BALMS/FILLERS/MOISTURISER,01BL012K15:SHEA UR LIP BALM ORG 12ML,22,55,QAR,204,A,,3253581327890
001,020412363106,9801,SKINCARE,1988,OCC:L'OCCITANE,4344,CLEANSERS,49HD030K15:SHEA CLEANSING OIL 30ML,7.2,19,QAR,204,A,,3253581327807
001,020412363107,9801,SKINCARE,1988,OCC:L'OCCITANE,4344,CLEANSERS,49ED030K15:SHEA CLEANSING WATER 30ML,0,19,QAR,204,A,,3253581327814
001,020412383387,9834,PLV,1988,OCC:L'OCCITANE,6622,PRINTED MATERIALS,CUSTCARD14:CUSTOMER CARD 2014 50,.9421,1.9,QAR,204,A,,020422383387
001,020412427887,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,20GD075O15:OCCITAN SHOWER GEL 75ML,11.6,29,QAR,204,A,,3253581344941
001,020412427888,9801,SKINCARE,1988,OCC:L'OCCITANE,5647,LIP BALMS/FILLERS/MOISTURISER,24BL012CB5:CHE BLOSSOM LIP BALM 12ML,19.6,49,QAR,204,A,,3253581321645
001,020412427896,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,29SA050A14:ALM DELICIOUS SOAP RSPO SG 50G,11.6001,29,QAR,204,A,,3253581306994
001,020412427901,9801,SKINCARE,1988,OCC:L'OCCITANE,6744,SERUM,49HD030I15:IM CLEANSING OIL 30ML,11.6,29,QAR,204,A,,3253581329801
